Id_Produktu,LP,Indeks,Identyfikator,Opis,Cena brutto,Sciezka,Kategoria,Atrybut,Formularz Zamowien,Warstwy,Kolor
206,19,"FILIŻANKA SUB","FILIŻANKA SUB","Stylowa i elegancka ceramiczna filiżanka. Możliwość wykonania dowolnej grafiki w pełnym kolorze. Zestaw zawiera filiżankę i spodek.",12.0000,"10","Ceramika i szkło","0",,"Warstwa 1,cut",
207,13,"SZKLANKA M SUB","SZKLANKA M SUB","Szklanka wykonana ze szkła mrożonego z możliwością wykonania dowolnej grafiki. Produkt dostępny w wielu ciekawych wzorach ",9.0000,"10","Ceramika i szkło","0",,"Warstwa 1,cut",
208,5,"KUBEK M SUB","KUBEK M SUB","Szklanka z uchem wykonana ze szkła mrożonego z możliwością wykonania dowolnej grafiki. Produkt dostępny w wielu ciekawych wzorach ",9.0000,"10","Ceramika i szkło","0",,"Warstwa 1,cut",
209,1,"KIELISZEK C SUB","KIELISZEK C SUB","Kieliszek wykonany z białej ceramiki z możliwością wykonania dowolnej grafiki.  Produkt dostępny w wielu ciekawych wzorach ",5.5000,"10","Ceramika i szkło","0",,"Warstwa 1,cut",
210,2,"KIELISZEK M SUB","KIELISZEK M SUB","Kieliszek wykonany ze szkła mrożonego z możliwością wykonania dowolnej grafiki. Produkt dostępny w wielu ciekawych wzorach ",5.5000,"10","Ceramika i szkło","0",,"Warstwa 1,cut",
211,10,"KUFEL SUB","KUFEL SUB","Kufel wykonany ze szkła mrożonego z możliwością wykonania dowolnej grafiki. Produkt dostępny w wielu ciekawych wzorach ",17.5000,"10","Ceramika i szkło","0",,"Warstwa 1,cut",
212,20,"SKARBONKA SUB","SKARBONKA SUB","Skarbonka w formie walca wykonana z wytrzymałej ceramiki. Możliwe jest nałożenie dowolnej grafiki w pełnym kolorze. Idealny prezent dla dziecka dostępny w wielu wzorach.",12.0000,"10","Ceramika i szkło","0",,"Warstwa 1,cut",
213,15,"DK42-058AB","KUFEL AB","Brak opisu",0.0000,"10","Ceramika i szkło","0",,"Warstwa 1,cut",
214,0,"DK18-CHUSTA","CHUSTA TRIO","Chusty wielofunkcyjna w formie komina z możliwością wykonania dowolnej grafiki. Brak niewygodnych szwów, wykonana z elastycznego poliestru. Idealna na codzienne spacery, oraz aktywnego spędzania czasu, dla dorosłych jak i dzieci.",4.0000,"8","Tekstylia","0",,"Warstwa 1",
215,5,"ZAPALNICZKA BENZYNA KOLOR","ZAPALNICZKA BENZYNA KOLOR","Otwierana zapalniczka benzynowa do napełniania benzyną. Zdobienie na produkcie stylizowane na motyw retro z imieniem męskim. Produkt zapakowany w profilowanym opakowaniu i kartce.",10.0000,"6","Zapalniczki i popielniczki","0",,"Warstwa 1",
216,10,"ZAPAL ZL-12 BIAŁA","ZAPAL ZL-12 BIAŁA","Zapalniczka gazowa z żarowym płomieniem z możliwością wielokrotnego napełnienia. Produkt dostępny w kolorze białym.",12.0000,"1.5","Zapalniczki i popielniczki","0",,"Warstwa 1",
217,11,"ZAPAL ZL-12 CZARNA","ZAPAL ZL-12 CZARNA","Zapalniczka gazowa z żarowym płomieniem z możliwością wielokrotnego napełnienia. Produkt dostępny w kolorze czarnym.",12.0000,"1.5","Zapalniczki i popielniczki","0",,"Warstwa 1",
218,12,"ZAPALNICZKA ŻYWICA","ZAPALNICZKA ŻYWICA","Zapalniczka gazowa z możliwością wykonania dowolnej grafiki w pełnym kolorze. ",7.5000,"2","Zapalniczki i popielniczki","0",,"Warstwa 1,cut",
219,13,"ZAPALNICZKA GUMA CZARNA","ZAPALNICZKA GUMA CZARNA","Zapalniczka gazowa z możliwością wielokrotnego napełnienia.",3.5000,"1.5","Zapalniczki i popielniczki","0",,"Warstwa 1",
